"","Name","geom","FID_Historic_Site","Document","HoCo.ID","Address","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Location","Survey.Year","Comments","FID_District"
"11","Roxbury Mill","POINT (1297317.63 579646.83)","Historic_Sites_View.fid--710a7ce6_150a05f0815_550c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-012.pdf"" TARGET=""NEW"">Click Here </a>",12,"4152 Roxbury Mills Rd",21,19,87,0,"Roxbury Mill","","Glenwood","1976","Mostly demolished",NA
"12","Howard Lodge","POINT (1329078 608560.6499999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_550d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-013.pdf"" TARGET=""NEW"">Click Here </a>",13,"12301 Howard Lodge Rd",9,12,157,0,"Taylor's Park","Howard Lodge","Sykesville","1976","",NA
"13","Howard County Hunt Club","POINT (1318021.5899999999 582810.7799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_550e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-014.pdf"" TARGET=""NEW"">Click Here </a>",14,"13400 Triadelphia Rd",22,8,6,0,"Howard County Hunt Club","","Ellicott City","1977","",NA
"14","Glenelg Manor","POINT (1323114.93 577325.1)","Historic_Sites_View.fid--710a7ce6_150a05f0815_550f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-015.pdf"" TARGET=""NEW"">Click Here </a>",15,"12793 Folly Quarter Rd",22,22,146,0,"Glenelg Manor","Glenelg Country School","Glenelg","2010","Now Glenelg Country School DB had 2/3/83",NA
"15","Folly Quarter Manor","POINT (1329467.4 578006.73)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5510","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-016.pdf"" TARGET=""NEW"">Click Here </a>",16,"12300 Folly Quarter Rd",22,24,46,0,"Folly Quarter Manor/McTavish House","St. Joseph Cupertino Novitiate","Ellicott City","1976","",NA
"16","Folly Farm","POINT (1331643.5399999998 577375.215)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5511","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-017.pdf"" TARGET=""NEW"">Click Here </a>",17,"4308 Folly Quarter Rd",23,19,33,0,"Folly Farm","","Ellicott City","1976","1999 Decorator Show House",NA
"17","Walnut Grove","POINT (1329444.0899999999 568842.975)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5512","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-018.pdf"" TARGET=""NEW"">Click Here </a>",18,"5192 Sheppard Ln",28,18,74,0,"Walnut Grove","","Clarksville","1976","",NA
"18","Huntington Farms","POINT (1320582.7799999998 559696.4249999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5513","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-019.pdf"" TARGET=""NEW"">Click Here </a>",19,"13180 Brighton Dam Rd",34,3,143,9,"Huntington Farms","","Clarksville","1977","Waterford Section 1. Under restoration (2000)",NA
"19","Hickory Ridge","POINT (1322639.2799999998 553470.315)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5514","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-020.pdf"" TARGET=""NEW"">Click Here </a>",20,"13032 Highland Rd",34,22,117,0,"Hickory Ridge","","Highland","1976","Completing restoration (2000)",NA
"20","Waverly","POINT (1341807.18 598502.6849999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5515","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-021.pdf"" TARGET=""NEW"">Click Here </a>",21,"2300 Waverly Mansion Dr",16,4,383,0,"Waverly","","Ellicott City","2008","",NA
"21","Doughoregan Manor","POINT (1342599.5399999998 586316.6849999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5516","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-022.pdf"" TARGET=""NEW"">Click Here </a>",22,"3500 Manor Lane",23,4,71,0,"Doughoregan Manor","","Ellicott City","2003","NHL 11/11/71; MHT 30-year temp easement expired 2007",NA
"22","Burleigh Manor","POINT (1349652.72 581121.6)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5517","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-023.pdf"" TARGET=""NEW"">Click Here </a>",23,"3950 White Rose Way",24,13,1162,3,"Burleigh","Hammond's Interitance","Ellicott City","1980","MHT Easement on house and buffer; HC Conservancy easement on parcel",NA
"23","Font Hill","POINT (1352693.6099999999 582959.7749999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5518","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-024.pdf"" TARGET=""NEW"">Click Here </a>",24,"9900 Timberknoll Ln",24,8,725,63,"Font Hill","Font Hill Manor","Ellicott City","1976","2004 Decorator Show House",NA
"24","Brick House on the Pike","POINT (1356727.68 587336.13)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5519","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-025.pdf"" TARGET=""NEW"">Click Here </a>",25,"9669 Susie's Way",24,3,810,12,"Brick House on the Pike","Brick House Farm; Ellerslie","Ellicott City","2008","",NA
"25","St Johns Episcopal Church","POINT (1360839.72 585025.095)","Historic_Sites_View.fid--710a7ce6_150a05f0815_551a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-026.pdf"" TARGET=""NEW"">Click Here </a>",26,"9140 Frederick Rd",24,10,535,0,"St. John's Episcopal Church","","Ellicott City","1987","",NA
"26","Daniels Mill","POINT (1364977.8299999998 601260.345)","Historic_Sites_View.fid--710a7ce6_150a05f0815_551b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-027.pdf"" TARGET=""NEW"">Click Here </a>",27,"2020 Daniels Rd",11,24,56,0,"Daniels Mill","C. R. Daniels Mill; Elysville Mill; Gary Mill; Alberton Mill","Ellicott City","1968","",NA
"27","Dorsey Hall","POINT (1359227.94 574762.365)","Historic_Sites_View.fid--710a7ce6_150a05f0815_551c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-028.pdf"" TARGET=""NEW"">Click Here </a>",28,"5100 Dorsey Hall Dr",30,4,412,0,"Dorsey Hall","","Ellicott City","2001","2001 Decorator Show House",NA
"28","Arlington","POINT (1356462.48 571660.5449999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_551d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-029.pdf"" TARGET=""NEW"">Click Here </a>",29,"5100 Columbia Rd",30,9,397,0,"Dorsey's Search; Talbott's Resolution Manor","Arlington","Columbia","1977","Village of Dorsey Search FDP-191; Lot 1",NA
"29","Woodlawn","POINT (1361546.0699999998 571153.4099999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_551e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-030.pdf"" TARGET=""NEW"">Click Here </a>",30,"9524 Old Annapolis Rd",30,11,346,0,"Woodlawn","Glen Ella","Columbia","2007","",NA
"30","Spring Hill","POINT (1368261.69 574430.865)","Historic_Sites_View.fid--710a7ce6_150a05f0815_551f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-031.pdf"" TARGET=""NEW"">Click Here </a>",31,"4659 Montgomery Rd",31,1,8,0,"Spring Hill and Spring Hill Quarters","","Ellicott City","1976","",NA
"31","Blandair","POINT (1360946.22 563273.22)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5520","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-033.pdf"" TARGET=""NEW"">Click Here </a>",33,"6651 Rt 175",36,5,3,0,"Blandair","","Columbia","1977","Renovation planned by DRP",NA
"32","Waveland","POINT (1360902.39 557189.01)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5521","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-034.pdf"" TARGET=""NEW"">Click Here </a>",34,"6830 Sewell's Orchard Rd",36,16,48,0,"New Year's Gift","Waveland","Columbia","1977","",NA
"33","Oak Hall","POINT (1362508.77 553451.88)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5522","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-036.pdf"" TARGET=""NEW"">Click Here </a>",36,"6770 Snowden River Parkwa",36,23,284,0,"Oak Hall","","Columbia","1977","Demolished 11/21/85. Was sister house to Waveland HO-34",NA
"34","Christ Church, Gulilford","POINT (1360683.5399999998 552654.975)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5523","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-035.pdf"" TARGET=""NEW"">Click Here </a>",35,"6800 Oakland Mills Rd",42,5,342,0,"Christ Episcopal Church","Old Brick","Columbia","2008","",NA
"35","Athol","POINT (1348794.39 554298.4199999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5524","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-037.pdf"" TARGET=""NEW"">Click Here </a>",37,"6680 Martin Rd",36,19,108,0,"Athol","","Columbia","1976","Original rectory of Old Brick Church or Christ Church, Guilford",NA
"36","Montpelier","POINT (1343383.41 545714.07)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5525","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-038.pdf"" TARGET=""NEW"">Click Here </a>",38,"7705 Montpielier Rd",41,17,124,0,"Montpelier","","Laurel","1976","",NA
"37","White Hall","POINT (1348691.76 545585.64)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5526","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-039.pdf"" TARGET=""NEW"">Click Here </a>",39,"Weather Worn Way",42,13,380,294,"Worthington's Quarter","White Hall; Iris Hall","Simpsonville","UNK","Demolition Permit Issued 11/19/91 (PHC found occupied)",NA
"38","Moundland","POINT (1352842.1099999999 546589.1549999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5527","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-040.pdf"" TARGET=""NEW"">Click Here </a>",40,"8580 Guilford Rd",42,14,55,0,"Moundland","","Simpsonville","1976","",NA
"39","Harry's Lott","POINT (1360260.21 542107.86)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5528","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-041.pdf"" TARGET=""NEW"">Click Here </a>",41,"7912 Savage-Guilford Rd",42,22,429,0,"Commodore Joshua Barney House","","Savage","1977","Data Base had 8/25/78",NA
"40","Belmont","POINT (1384760.7 568088.6699999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5529","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-043.pdf"" TARGET=""NEW"">Click Here </a>",43,"6555 Belmont Woods Rd",32,13,2,0,"Belmont","Moore's Morning Choice","Elkridge","2010","",NA
"41","Troy Hill","POINT (1379390.43 557134.725)","Historic_Sites_View.fid--710a7ce6_150a05f0815_552a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-044.pdf"" TARGET=""NEW"">Click Here </a>",44,"6500 Mansion Ln",37,17,561,0,"Troy","Troy Hill","Elkridge","UNK","Damaged by fire",NA
"42","Trinity Church","POINT (1377592.7699999998 551439.72)","Historic_Sites_View.fid--710a7ce6_150a05f0815_552b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-045.pdf"" TARGET=""NEW"">Click Here </a>",45,"7474 Washington lvd",43,4,592,0,"Trinity Church","","Elkridge","1973","",NA
"43","Spurrier's Tavern site","POINT (1372690.65 548485.38)","Historic_Sites_View.fid--710a7ce6_150a05f0815_552c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-046.pdf"" TARGET=""NEW"">Click Here </a>",46,"Rt 1 & Rt 175",43,9,445,0,"Spurrier's Tavern Site","","Elkridge","UNK","Does not exist. Another building on site",NA
"44","Temora","POINT (1362271.44 578380.44)","Historic_Sites_View.fid--710a7ce6_150a05f0815_552d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-047.pdf"" TARGET=""NEW"">Click Here </a>",47,"4252 Columbia Rd",24,23,300,13,"Temora","","Ellicott City","1975","1984 Decorator Show House",NA
"45","Papillion","POINT (1364199.3299999998 584550.1649999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_552e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-048.pdf"" TARGET=""NEW"">Click Here </a>",48,"8880 Frederick Rd",24,12,121,0,"Woodlawn","Papillon","Ellicott City","1976","Razed; townhouse development built in 1990s",NA
"46","Mt Hebron","POINT (1359914.7899999998 596787.09)","Historic_Sites_View.fid--710a7ce6_150a05f0815_552f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-049.pdf"" TARGET=""NEW"">Click Here </a>",49,"2330 Mt Hebron Dr",17,10,400,0,"Mount Hebron","","Ellicott City","2007","1996 Decorator Show House",NA
"47","First Presbyterian Church","POINT (1369374.51 583256.97)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5530","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-050.pdf"" TARGET=""NEW"">Click Here </a>",50,"8328 Court Ave",25,0,231,0,"Howard County Historical Society","First Presbyterian Church","Ellicott City","1977","",NA
"48","Ho Co Court House","POINT (1369315.41 583350.9149999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5531","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-051.pdf"" TARGET=""NEW"">Click Here </a>",51,"8360 Court Ave",25,0,302,0,"Howard County Court House (original section only)","","Ellicott City","UNK","",NA
"49","Patapsco Natn'l Bank","POINT (1369962.75 583093.38)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5532","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-052.pdf"" TARGET=""NEW"">Click Here </a>",52,"8098 Main St",25,0,14,0,"Patapsco National Bank Building/Thomas Hunt's Stable","First National Bank - Ellicott City Branch Office","Ellicott City","1977","",NA
"50","The Powell House","POINT (1369603.65 583103.34)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5533","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-053.pdf"" TARGET=""NEW"">Click Here </a>",53,"8198 Main St",25,0,4,0,"Samuel Powell House","The Stapf House","Ellicott City","1977","",NA
"51","Ho Co Jail","POINT (1369607.76 583594.4099999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5534","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-054.pdf"" TARGET=""NEW"">Click Here </a>",54,"3709 Park Ave",25,0,243,0,"The Emory Jail/Willow Grove","The Howard County Jail","Ellicott City","1977","",NA
"52","Emory Methodist Episcopal","POINT (1369722.48 583190.835)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5535","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-055.pdf"" TARGET=""NEW"">Click Here </a>",55,"3799 Church Rd",25,10,299,0,"Methodist Episcopal Church of Emory Chapel","Emory Methodist Episcopal Church","Ellicott City","1977","Emory United Methodist Church",NA
"53","Ellicott House","POINT (1369819.65 583233.855)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5536","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-056.pdf"" TARGET=""NEW"">Click Here </a>",56,"3791 Church Rd",25,0,191,0,"Ellicott House; Macgill House","Jenkins Residence","Ellicott City","1977","",NA
"54","The Manse","POINT (1369819.92 583368.1799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5537","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-057.pdf"" TARGET=""NEW"">Click Here </a>",57,"3788 Church Rd",25,0,16,0,"The Manse","","Ellicott City","1977","",NA
"55","Castle Angelo","POINT (1370337.63 583425.5549999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5538","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-058.pdf"" TARGET=""NEW"">Click Here </a>",58,"3749 Church Rd",25,0,18,0,"Angelo Castle","","Ellicott City","1977","",NA
"56","Mt Ida","POINT (1369941.66 583645.62)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5539","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-059.pdf"" TARGET=""NEW"">Click Here </a>",59,"3691 Sarah's Ln",25,0,197,0,"Mount Ida","","Ellicott City","UNK","1995 Decorator Show House",NA
"57","Patapsco Female Institute","POINT (1369737.69 584304.975)","Historic_Sites_View.fid--710a7ce6_150a05f0815_553a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-060.pdf"" TARGET=""NEW"">Click Here </a>",60,"3655 Sarah's Ln",25,8,212,0,"Patapsco Female Institute","","Ellicott City","UNK","",NA
"58","Ho Co Public Library","POINT (1369430.13 583121.19)","Historic_Sites_View.fid--710a7ce6_150a05f0815_553b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-061.pdf"" TARGET=""NEW"">Click Here </a>",61,"8210 Main St",25,0,1,0,"Old Howard County Fire Department Building","Howard County Public Library","Ellicott City","1977","",NA
"59","Town Hall","POINT (1370241.0599999998 583194.0599999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_553c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-062.pdf"" TARGET=""NEW"">Click Here </a>",62,"8044-8046 Main St",25,0,27,0,"The Town Hall (West Ilchester)","Rhodey's Emporium (Rodey's); The Opera House","Ellicott City","2010","",NA
"60","Patterson Viaduct","POINT (1379067.69 576970.2899999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_553d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-063.pdf"" TARGET=""NEW"">Click Here </a>",63,"",25,23,81,0,"Patterson Viaduct Remains","Patterson Viaduct; Ilchester Bridge","Ilchester","1977","NHL 11/24/68 Data Base had 11/14/68",NA
"61","Thos Issac's Log Cabin","POINT (1368715.47 583535.865)","Historic_Sites_View.fid--710a7ce6_150a05f0815_553e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-064.pdf"" TARGET=""NEW"">Click Here </a>",64,"Merryman St",25,7,0,0,"Thomas Isaac's Log Cabin","Stanton's Log Cabin","Ellicott City","1977","Relocated to this site and restored",NA
"62","Friends Meeting House","POINT (1369407.2999999998 582711.465)","Historic_Sites_View.fid--710a7ce6_150a05f0815_553f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-065.pdf"" TARGET=""NEW"">Click Here </a>",65,"3771 Old Columbia Pike",25,0,234,0,"New Elkridge Meeting House; Quaker Hill Meeting House","Friends Meeting House and Graveyard","Ellicott City","1975","",NA
"63","","POINT (1369332.96 582613.14)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5540","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-066.pdf"" TARGET=""NEW"">Click Here </a>",66,"3771 Old Columbia Pike",25,0,234,0,"Quaker Burial Grounds","","Ellicott City","1995","Road Marker on Old Columbia Pike, Cem. on Hil E.C.H.",NA
"64","","POINT (1369415.49 582747.765)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5541","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-067.pdf"" TARGET=""NEW"">Click Here </a>",67,"3771 Old Columbia Pike",25,0,234,0,"Quaker Meeting House","","Ellicott City","1975","",NA
"65","Howard House","POINT (1369562.4 583110.36)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5542","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-068.pdf"" TARGET=""NEW"">Click Here </a>",68,"8202 Main St",25,0,2,0,"Howard House","","Ellicott City","1977","",NA
"66","The Walker House","POINT (1369663.3499999999 583093.38)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5543","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-069.pdf"" TARGET=""NEW"">Click Here </a>",69,"8180 Main St",25,0,6,0,"The Walker House","The Alexander Walker House","Ellicott City","1977","",NA
"67","Patapsco Hotel","POINT (1370373.3299999998 583253.475)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5544","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-070.pdf"" TARGET=""NEW"">Click Here </a>",70,"8004-8026 Main St",25,0,29,0,"Thomas' Patapsco Hotel/Wilson Patapsco Hotel","Stewart's Hotel; Patapsco Hotel","Ellicott City","1970","",NA
"68","Ellicott City RR Station","POINT (1370366.3099999998 583107.1499999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5545","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-071.pdf"" TARGET=""NEW"">Click Here </a>",71,"Maryland Ave",25,0,0,0,"Ellicott City Railroad Station (B & O) Freight Bldg. and Turntable","","Ellicott City","UNK","NHL 11/24/1968",NA
"69","The Bridge Market","POINT (1370469.2999999998 583318.44)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5546","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-00.pdf"" TARGET=""NEW"">Click Here </a>",0,"8000 Main St",25,0,60,0,"The Bridge Market","E. T. Clark Property (restored)","Ellicott City","1977","",NA
"70","St Paul's School","POINT (1370303.67 582783.465)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5547","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-076.pdf"" TARGET=""NEW"">Click Here </a>",76,"St Paul St",25,0,61,0,"West Ilchester - Original Patapsco Bank","St. Paul's Catholic School","Ellicott City","1977","",NA
"71","The Lodge Bldg","POINT (1369830.48 583075.83)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5548","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-079.pdf"" TARGET=""NEW"">Click Here </a>",79,"8126-8132 Main St",25,0,10,0,"The Lodge Building; Independent Order of Odd Fellows","I. O. O. F. Lodge #40","Ellicott City","1977","",NA
"72","Thomas Viaduct","POINT (1393512.8099999998 566484.1649999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5549","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-080.pdf"" TARGET=""NEW"">Click Here </a>",80,"",32,22,0,0,"Thomas Viaduct","B&O Railroad; Latrobe's Folly","Relay","1974","NHL 1/28/64",NA
"73","Disney's Tavern","POINT (1369147.71 583279.5)","Historic_Sites_View.fid--710a7ce6_150a05f0815_554a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-082.pdf"" TARGET=""NEW"">Click Here </a>",82,"8304-8298 Main St",25,7,182,0,"Disney's Tavern/Mount Misery/Sprecher House","","Ellicott City","1977","",NA
"74","Collier's Grist Mill","POINT (1370130.42 582969.2999999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_554b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-00.pdf"" TARGET=""NEW"">Click Here </a>",0,"8069 Tiber St",25,0,314,0,"Collier's Grist Mill","Old Grist Mill","Ellicott City","1977","",NA
"75","Linden Grove","POINT (1361352.72 561487.47)","Historic_Sites_View.fid--710a7ce6_150a05f0815_554c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-00.pdf"" TARGET=""NEW"">Click Here </a>",0,"9100 Carriage House Ln",36,11,355,0,"New Year's Gift","Linden Grove","Columbia","1977","",NA
"76","Montrose","POINT (1318708.68 558962.745)","Historic_Sites_View.fid--710a7ce6_150a05f0815_554d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-085.pdf"" TARGET=""NEW"">Click Here </a>",85,"13370 Brighton Dam Rd",34,15,271,0,"Montrose","","Clarksville","2000","Randall Prop. Lot 1 or 2: 13360/13370 Brighton Dam Rd.",NA
